Date,GOOGL,AMZN,META,MSFT,AAPL
2022-07-07,118.4896011352539,116.33000183105469,171.67312622070312,263.2925109863281,144.54547119140625
2022-07-08,119.0586929321289,115.54000091552734,170.36705017089844,262.5666198730469,145.22694396972656
2022-07-11,115.39077758789062,111.75,162.39105224609375,259.4765319824219,143.0836944580078
2022-07-12,113.7388687133789,109.22000122070312,162.77989196777344,248.84280395507812,144.0615234375
2022-07-13,111.07845306396484,110.4000015258789,162.99923706054688,247.91087341308594,143.69606018066406
2022-07-14,110.09488677978516,110.62999725341797,157.5755615234375,249.2449951171875,146.6393280029297
2022-07-15,111.50140380859375,113.55000305175781,164.20559692382812,251.83477783203125,148.31834411621094
2022-07-18,108.76068878173828,113.76000213623047,166.72799682617188,249.41175842285156,145.25656127929688
2022-07-19,113.52887725830078,118.20999908447266,175.25234985351562,254.59130859375,149.1381378173828
2022-07-20,113.61866760253906,122.7699966430664,182.54037475585938,257.2791748046875,151.15293884277344
2022-07-21,114.05757141113281,124.62999725341797,182.62014770507812,259.8002624511719,153.43447875976562
2022-07-22,107.63348388671875,122.41999816894531,168.7618865966797,255.40548706054688,152.1900177001953
2022-07-25,107.24444580078125,121.13999938964844,166.1497344970703,253.90463256835938,151.06407165527344
2022-07-26,104.76058959960938,114.80999755859375,158.67225646972656,247.1064910888672,149.73072814941406
2022-07-27,112.7807388305664,120.97000122070312,169.07095336914062,263.62603759765625,154.8567352294922
2022-07-28,113.93787384033203,122.27999877929688,160.237548828125,271.15008544921875,155.4098358154297
2022-07-29,116.03268432617188,134.9499969482422,158.62240600585938,275.3976745605469,160.50619506835938
2022-08-01,114.57628631591797,135.38999938964844,159.44992065429688,272.71966552734375,159.5185089111328
2022-08-02,114.84561920166016,134.16000366210938,159.70913696289062,269.59033203125,158.03701782226562
2022-08-03,117.78834533691406,139.52000427246094,168.2932891845703,277.0947265625,164.0815887451172
2022-08-04,117.89806365966797,142.57000732421875,170.0579833984375,278.2523193359375,163.76548767089844
2022-08-05,117.17984008789062,140.8000030517578,166.60836791992188,277.5263977050781,163.5380401611328
2022-08-08,117.01026916503906,139.41000366210938,169.7389373779297,274.9857482910156,163.06324768066406
2022-08-09,116.34191131591797,137.8300018310547,168.02410888671875,276.9280090332031,163.11273193359375
2022-08-10,119.40433502197266,142.69000244140625,177.8046417236328,283.657470703125,167.38539123535156
2022-08-11,118.54645538330078,140.63999938964844,176.9571990966797,281.55816650390625,166.64361572265625
2022-08-12,121.37944793701172,143.5500030517578,179.9581756591797,286.35516357421875,170.21405029296875
2022-08-15,121.7784652709961,143.17999267578125,180.3470001220703,287.88543701171875,171.29212951660156
2022-08-16,121.39939880371094,144.77999877929688,178.93125915527344,287.139892578125,171.1338653564453
2022-08-17,119.25471496582031,142.10000610351562,174.32513427734375,286.3829040527344,172.63720703125
2022-08-18,119.87317657470703,142.3000030517578,174.1356964111328,285.25250244140625,172.24159240722656
2022-08-19,116.92048645019531,138.22999572753906,167.455810546875,281.30047607421875,169.64039611816406
2022-08-22,113.95782470703125,133.22000122070312,162.560546875,273.0429382324219,165.73370361328125
2022-08-23,113.57876586914062,133.6199951171875,160.62637329101562,271.755126953125,165.39739990234375
2022-08-24,113.4091796875,133.8000030517578,162.76991271972656,271.1160888671875,165.69410705566406
2022-08-25,116.36186981201172,137.27999877929688,168.27334594726562,274.124267578125,168.16676330566406
2022-08-26,110.06745147705078,130.75,161.2943572998047,263.546630859375,161.82696533203125
2022-08-29,109.14972686767578,129.7899932861328,158.6921844482422,260.735107421875,159.61151123046875
2022-08-30,108.67091369628906,128.72999572753906,156.688232421875,258.5133972167969,157.16859436035156
2022-08-31,107.95269012451172,126.7699966430664,162.44090270996094,257.038818359375,155.49710083007812
2022-09-01,109.46894073486328,127.81999969482422,164.86361694335938,255.98690795898438,156.22900390625
2022-09-02,107.58360290527344,127.51000213623047,159.83876037597656,251.72048950195312,154.10255432128906
2022-09-06,106.54617309570312,126.11000061035156,158.06407165527344,248.95811462402344,152.83657836914062
2022-09-07,109.17964935302734,129.47999572753906,159.90853881835938,253.71612548828125,154.25091552734375
2022-09-08,108.11228942871094,129.82000732421875,161.57351684570312,254.1387939453125,152.7673797607422
2022-09-09,110.37669372558594,133.27000427246094,168.64224243164062,259.9781188964844,155.6454620361328
2022-09-12,110.58616638183594,136.4499969482422,168.45281982421875,262.13104248046875,161.63906860351562
2022-09-13,104.06232452392578,126.81999969482422,152.6703338623047,247.719482421875,152.15414428710938
2022-09-14,104.74064636230469,128.5500030517578,151.0153045654297,247.94557189941406,153.60804748535156
2022-09-15,102.65581512451172,126.27999877929688,149.10107421875,241.22149658203125,150.7002716064453
