time,BTC,BTC_diff,BTC_EMA12,BTC_EMA26,ETH,ETH_diff,ETH_EMA12,ETH_EMA26,USDT,USDT_diff,USDT_EMA12,USDT_EMA26,BNB,BNB_diff,BNB_EMA12,BNB_EMA26,USDC,USDC_diff,USDC_EMA12,USDC_EMA26
2022-01-31,38494.66,586.2200000000012,38311.62920266807,40264.6867428881,2689.14,85.90000000000009,2662.2366768746997,2916.7788300314874,1.001,0.0009999999999998899,1.0007356081059053,1.0006032976938348,374.75,-2.5500000000000114,394.94635007034987,426.2741885485232,1.001,0.0013999999999998458,1.0002442107461273,1.0001231934080976
2022-02-01,38721.49,226.82999999999447,38374.68470994991,40150.37587304454,2790.15,101.01000000000022,2681.9156496632077,2907.3989166958218,1.001,0.0,1.0007762837819199,1.000632683049847,384.28,9.529999999999973,393.3053731364499,423.1635079152993,1.0,-0.0009999999999998899,1.0002066398621077,1.0001140679704608
2022-02-02,36918.19,-1803.2999999999956,38150.608600726846,39910.95469726346,2681.11,-109.03999999999996,2681.791703561176,2890.6367747183535,1.0,-0.0009999999999998899,1.0006568555077784,1.0005858176387472,367.26,-17.019999999999982,389.2983926539191,419.02250732898085,1.0,0.0,1.0001748491140912,1.0001056184911674
2022-02-03,37328.64,410.4499999999971,38024.15189292272,39719.6721270958,2697.18,16.06999999999971,2684.1591337825334,2876.306643257735,1.001,0.0009999999999998899,1.0007096469681203,1.000616497813655,372.39,5.1299999999999955,386.6971014763931,415.5682475268341,1.001,0.0009999999999998899,1.000301795404231,1.0001718689733032
2022-02-04,41590.34,4261.699999999997,38572.79621708845,39858.24011768129,2997.18,300.0,2732.316190123682,2885.260225238643,1.001,0.0,1.0007543166653325,1.0006449053830138,399.68,27.29000000000002,388.6944704800249,414.3913403026242,1.0,-0.0009999999999998899,1.0002553653420416,1.0001591379382437
2022-02-05,41418.21,-172.12999999999738,39010.552183690226,39973.793442297494,3015.26,18.080000000000382,2775.846007027731,2894.889838183929,1.001,0.0,1.0007921141014353,1.0006712086879757,414.05,14.370000000000005,392.5953211754057,414.3660558357632,1.0,0.0,1.000216078366343,1.0001473499428182
2022-02-06,42412.41,994.2000000000044,39533.91492466096,40154.43170583101,3057.68,42.41999999999962,2819.2050828696188,2906.948368688823,1.001,0.0,1.0008240965473683,1.0006955635999775,420.34,6.289999999999964,396.8637333022663,414.8085702182992,1.0,0.0,1.0001828355407518,1.000136435132239
2022-02-07,43861.07,1448.6599999999962,40199.63109009773,40428.997505399086,3141.38,83.70000000000027,2868.770454735831,2924.3136747118733,1.001,0.0,1.000851158617004,1.0007181144444235,433.75,13.410000000000025,402.53854356345613,416.2116390910178,1.0,0.0,1.0001547069960208,1.0001263288261473
2022-02-08,44080.12,219.0500000000029,40796.629383928856,40699.45102351767,3118.76,-22.61999999999989,2907.2303847764724,2938.7171062146977,1.001,0.0,1.000874057291311,1.0007389948559477,408.09,-25.660000000000025,403.39261378446287,415.61003619538684,1.0,0.0,1.0001309059197099,1.0001169711353215
2022-02-09,44422.91,342.7900000000009,41354.51870947826,40975.2627995534,3246.72,127.95999999999958,2959.4595563493226,2961.5321353839795,1.001,0.0,1.0008934330926478,1.0007583285703219,423.24,15.150000000000034,406.44605781762243,416.17521869943226,1.0,0.0,1.000110766547447,1.000108306606779
2022-02-10,43531.67,-891.2400000000052,41689.46506186622,41164.62629588278,3074.84,-171.87999999999965,2977.2103938340424,2969.925310540722,1.001,0.0,1.0009098280014712,1.0007762301577054,414.79,-8.449999999999989,407.72974123029593,416.0726099068817,1.0,0.0,1.0000937255401474,1.0001002838951658
2022-02-11,42398.98,-1132.689999999995,41798.6212061945,41256.05990359517,2928.93,-145.9100000000003,2969.7826409364975,2966.8886208710387,1.001,0.0,1.0009237006166294,1.0007928057015791,400.83,-13.960000000000036,406.66824257948116,414.94352769155716,1.0,0.0,1.0000793062262785,1.000092855458487
2022-02-12,42239.01,-159.97000000000116,41866.37332831842,41328.87102184738,2918.34,-10.58999999999969,2961.8683884847287,2963.2924267324433,1.001,0.0,1.0009354389833018,1.000808153427388,403.6,2.7700000000000387,406.196205259561,414.1032663810715,1.0,0.0,1.0000671052683896,1.0000859772763768
2022-02-13,42069.84,-169.17000000000553,41897.67589319251,41383.757612821646,2872.44,-45.90000000000009,2948.1101748716937,2956.562617344855,1.0,-0.0009999999999998899,1.000791525293563,1.0007482902105445,398.07,-5.53000000000003,404.94601983501315,412.91561701951065,1.0,0.0,1.0000567813809451,1.0000796085892378
2022-02-14,42552.28,482.4400000000023,41998.384217316736,41470.31482668671,2931.12,58.679999999999836,2945.49630181451,2954.677979023014,1.0,0.0,1.0006697521714765,1.0006928613060597,403.71,5.639999999999986,404.7558629373188,412.23371946250984,0.9999,-9.999999999998899e-05,1.000032661168492,1.0000663042492943
2022-02-15,44576.33,2024.050000000003,42394.99126080647,41700.390024709915,3185.81,254.69000000000005,2982.467639996893,2971.798869465754,1.001,0.0009999999999998899,1.0007205595297108,1.0007156123204257,432.82,29.110000000000014,409.0734224854236,413.75862913195357,1.0,9.999999999998899e-05,1.0000276363733394,1.0000613928234208
2022-02-16,43896.34,-679.9900000000052,42625.967989913166,41863.052985842514,3124.33,-61.48000000000002,3004.2926184589096,2983.09747172755,1.0,-0.0009999999999998899,1.0006097042174475,1.000662604000394,427.59,-5.230000000000018,411.9221267184353,414.7831751221792,1.0,0.0,1.0000233846235949,1.000056845206871
2022-02-17,40545.09,-3351.25,42305.83291454191,41765.426098002325,2894.42,-229.90999999999985,2987.3891386960004,2976.528770118102,1.001,0.0009999999999998899,1.0006697497224557,1.0006875962966613,402.64,-24.94999999999999,410.49410722329145,413.88368066868446,1.0,0.0,1.0000197869891956,1.0000526344508065
2022-02-18,39994.66,-550.429999999993,41950.267850766235,41634.258238891045,2780.72,-113.70000000000027,2955.5938865889234,2962.02441677602,1.0,-0.0009999999999998899,1.0005667113036163,1.0006366632376493,399.39,-3.25,408.7857830350928,412.81007469322634,0.9995,-0.0004999999999999449,0.9999398197600886,1.0000116985655616
